	cocktail	cluster	x	y
0	Gauguin	1	25.264394760131836	-3.9183690547943115
1	Fort Lauderdale	1	30.196989059448242	-5.025713920593262
2	Apple Pie	3	3.507383346557617	-15.76955509185791
3	Cuban Cocktail No. 1	1	29.400907516479492	-3.5445852279663086
4	Cool Carlos	6	10.025469779968262	24.20488166809082
5	John Collins	2	24.206024169921875	-11.766806602478027
6	Cherry Rum	4	-13.364553451538086	-20.400972366333008
7	Casa Blanca	1	31.646957397460938	-4.569240093231201
8	Caribbean Champagne	1	31.647581100463867	-7.265138149261475
9	Amber Amour	2	21.27109146118164	-11.76059341430664
10	The Joe Lewis	2	16.52877426147461	-10.746359825134277
11	Bacardi Cocktail	1	30.336641311645508	-3.4602200984954834
12	Apple Pie No. 1	4	-10.26021957397461	-23.677656173706055
13	Yolanda	7	1.012114405632019	27.223369598388672
14	Yellow Rattler	7	-0.6976656317710876	24.870193481445312
15	Why Not?	4	-18.15203285217285	-21.354782104492188
16	Amaretto Stinger	0	38.612037658691406	-6.473852157592773
17	What The Hell	4	-18.15097427368164	-21.353775024414062
18	Webster Cocktail	7	-2.157970428466797	29.388229370117188
19	Union Jack Cocktail	7	-3.726043701171875	28.831207275390625
20	Jocose Julep	0	38.60455322265625	-4.389862060546875
21	Trinity Cocktail	7	-1.5401067733764648	28.076496124267578
22	Three Stripes Cocktail	7	-0.6974462270736694	24.86968231201172
23	Tanq-A-Rita	7	-5.081540107727051	27.197023391723633
24	Amaretto Sour	2	21.43048667907715	-11.904561042785645
25	Tailspin Cocktail	7	-2.0625216960906982	22.769229888916016
26	Sweet Patootie Cocktail	7	-5.132081508636475	26.429908752441406
27	Sunshine Cocktail	7	-2.948550224304199	24.990049362182617
28	Spring Feeling Cocktail	5	-23.572362899780273	-9.020634651184082
29	Sphinx Cocktail	7	-1.0039066076278687	27.5596923828125
30	Jitterbug Sour	9	-24.14734649658203	23.065086364746094
31	Southern Gin Cocktail	9	-27.689434051513672	22.070253372192383
32	Society Cocktail	7	0.7244951725006104	27.236204147338867
33	Snyder	7	-3.2318272590637207	26.975584030151367
34	Smiler Cocktail	7	-1.9450397491455078	23.64683723449707
35	Smile Cocktail	5	-23.192996978759766	-9.498252868652344
36	Amaretto Rose	2	21.271339416503906	-11.76024341583252
37	Sand-Martin Cocktail	7	-0.8981545567512512	29.056697845458984
38	Irish Whiskey Highball	2	17.989181518554688	-9.016544342041016
39	Japanese	4	-15.038073539733887	-23.8879337310791
40	Roselyn Cocktail	7	0.7248764038085938	27.235788345336914
41	Resolute Cocktail	4	-17.025707244873047	-21.072023391723633
42	Racquet Club Cocktail	7	-1.9437031745910645	23.646564483642578
43	Amaretto And Cream	3	3.9918298721313477	-18.556222915649414
44	Pollyanna Cocktai	7	1.9841458797454834	24.859437942504883
45	Plaza Cocktail	7	-1.1040858030319214	27.868602752685547
46	Irish Whiskey Cocktail	9	-28.17105484008789	20.689552307128906
47	Absinthe Special Cocktail	9	-26.95671272277832	22.737363815307617
48	Nineteenth Hole	7	-2.9467663764953613	24.990161895751953
49	Montreal Club Bouncer	7	-4.562314510345459	28.62552261352539
50	Monte Carlo Imperial Highball	0	39.978092193603516	-5.479950904846191
51	Irish Shillelagh	2	23.677000045776367	-10.4258451461792
52	Melon Cocktail	5	-23.957988739013672	-10.151145935058594
53	Martini (Medium)	7	-1.5387520790100098	27.030614852905273
54	Martini (Dry) (5-to-1)	7	-2.062744140625	27.629838943481445
55	Mamie's Sister	8	-11.631590843200684	27.977439880371094
56	Irish Rickey	8	-13.974797248840332	29.60544204711914
57	Maiden's Prayer	5	-24.680511474609375	-8.83609390258789
58	Lone Tree Cocktail	7	-1.6364065408706665	28.073143005371094
59	London Buck	5	-23.824583053588867	-8.455225944519043
60	Leap Frog Highball	5	-23.82453155517578	-8.455286026000977
61	Incider Cocktail	3	1.0428434610366821	-17.52157974243164
62	Kup's Indispensable Cocktail	7	-2.9486916065216064	24.988977432250977
63	Knock-Out Cocktail	0	39.1612434387207	-5.72631311416626
64	K. G. B. Cocktail	4	-17.02507781982422	-21.072534561157227
65	Imperial Fizz	2	21.82659149169922	-9.985368728637695
66	Jeyplak Cocktail	7	-2.0377955436706543	27.76350975036621
67	H. P. W. Cocktail	7	-2.057370901107788	27.59626007080078
68	I.A.P.	3	3.0394763946533203	-15.843866348266602
69	Hotel Plaza Cocktail	7	-2.014784812927246	27.87620735168457
70	Hoffman House Cocktail	7	-1.8881574869155884	27.21283721923828
71	Hawaiin Cocktail	6	6.0713419914245605	22.9379940032959
72	White Russian	3	7.6485209465026855	-19.39932632446289
73	Greyhound	7	-6.303434371948242	30.889911651611328
74	Green Devil	0	39.70974349975586	-6.254401206970215
75	Greenback	0	39.83110427856445	-5.618933200836182
76	Grapefruit Cocktail	7	-6.257818698883057	30.921356201171875
77	Hotel D'alsace	3	-0.18598374724388123	-18.078659057617188
78	Jamaica Granito	4	-12.880236625671387	-23.58039093017578
79	Gin Sling	5	-22.042591094970703	-8.248495101928711
80	Gin Milk Punch	5	-21.10232162475586	-6.721406936645508
81	Horse's Neck (With A Kick)	2	17.38348960876465	-8.2963285446167
82	Gin and It	7	-1.9626113176345825	27.29590606689453
83	Gin Cocktail	7	-3.9744579792022705	25.819047927856445
84	West Side	2	20.198657989501953	-14.463944435119629
85	Gimlet 	5	-20.00160789489746	-6.689929485321045
86	Free Silver	5	-22.352846145629883	-6.34979248046875
87	Frankenjack Cocktail	4	-19.424341201782227	-20.795923233032227
88	Fog Horn	8	-11.456284523010254	27.877702713012695
89	Flying Dutchman	7	-4.855891227722168	27.309001922607422
90	Hoot Mon Cocktail	2	18.827482223510742	-10.120672225952148
91	Fifty-Fifty Cocktail	7	-1.4971885681152344	27.028661727905273
92	Favorite Cocktail	4	-18.152389526367188	-21.355653762817383
93	Farmer's Cocktail	7	-2.947726011276245	24.98984146118164
94	Warsaw Cocktail	4	-12.200726509094238	-21.75124168395996
95	Emerald Isle Cocktail	0	39.795013427734375	-6.358713150024414
96	Du Barry Cocktail	7	-2.9468472003936768	24.98994255065918
97	Dry Martini (5-to-1)	7	-1.8691986799240112	27.97365951538086
98	Dixie Cocktail	7	-0.6978809237480164	24.869962692260742
99	Delmonico No. 2	7	-1.9435971975326538	23.646358489990234
100	Hole-In-One	9	-25.754728317260742	24.066020965576172
101	Vodka Stinger	0	38.41290283203125	-6.957286357879639
102	Caruso	0	39.16123962402344	-5.72631311416626
103	Bulldog Highball	7	-5.664449214935303	25.395465850830078
104	Brown Cocktail	7	-2.270106792449951	26.46377182006836
105	Bronx Terrace Cocktail	7	-2.2867848873138428	28.89733123779297
106	Bronx Cocktail (Dry)	7	-0.6986392140388489	24.869958877563477
107	Hill Dog	3	1.463193655014038	-14.443243980407715
108	Blue Devil Cocktail	5	-24.51958465576172	-10.516663551330566
109	Blue Canary	7	-6.279127597808838	30.962080001831055
110	Blue Bird	9	-28.21649169921875	22.038318634033203
